Date,Births
1976-03-01,6360.0
1976-04-01,5575.0
1976-05-01,5388.0
1976-06-01,5514.0
1976-07-01,5551.0
1976-08-01,5346.0
1976-09-01,5086.0
1976-10-01,5351.0
1976-11-01,5055.0
1976-12-01,4874.0
1977-01-01,5117.0
1977-02-01,4772.0
1977-03-01,5505.0
1977-04-01,4901.0
1977-05-01,5334.0
1977-06-01,5209.0
1977-07-01,5091.0
1977-08-01,5507.0
1977-09-01,5224.0
1977-10-01,5656.0
1977-11-01,5123.0
1977-12-01,4903.0
1978-01-01,5262.0
1978-02-01,4902.0
1978-03-01,5611.0
1978-04-01,4852.0
1978-05-01,5555.0
1978-06-01,5429.0
1978-07-01,5283.0
1978-08-01,5681.0
1978-09-01,5378.0
1978-10-01,6027.0
1978-11-01,5277.0
1978-12-01,5038.0
1979-01-01,5897.0
1979-02-01,4996.0
1979-03-01,5816.0
1979-04-01,5725.0
1979-05-01,6010.0
1979-06-01,5666.0
1979-07-01,6058.0
1979-08-01,5982.0
1979-09-01,5085.0
1979-10-01,6253.0
1979-11-01,5556.0
1979-12-01,5322.0
1980-01-01,5724.0
1980-02-01,5476.0
1980-03-01,5510.0
1980-04-01,5973.0
1980-05-01,5868.0
1980-06-01,5635.0
1980-07-01,6019.0
1980-08-01,5605.0
1980-09-01,5633.0
1980-10-01,6280.0
1980-11-01,5172.0
1980-12-01,5997.0
1981-01-01,6052.0
1981-02-01,5333.0
1981-03-01,6150.0
1981-04-01,5739.0
1981-05-01,5610.0
1981-06-01,5767.0
1981-07-01,5929.0
1981-08-01,5745.0
1981-09-01,5573.0
1981-10-01,6119.0
1981-11-01,5446.0
1981-12-01,5591.0
1982-01-01,5472.0
1982-02-01,5106.0
1982-03-01,5997.0
1982-04-01,5658.0
1982-05-01,5239.0
1982-06-01,5366.0
1982-07-01,5549.0
1982-08-01,5693.0
1982-09-01,5462.0
1982-10-01,5908.0
1982-11-01,5437.0
1982-12-01,5309.0
1983-01-01,5499.0
1983-02-01,4964.0
1983-03-01,5631.0
1983-04-01,5227.0
1983-05-01,5370.0
1983-06-01,5693.0
1983-07-01,5498.0
1983-08-01,5873.0
1983-09-01,5512.0
1983-10-01,5633.0
1983-11-01,5128.0
1983-12-01,5050.0
1984-01-01,5383.0
1984-02-01,4937.0
1984-03-01,5347.0
1984-04-01,5154.0
1984-05-01,5448.0
1984-06-01,5316.0
1984-07-01,5798.0
1984-08-01,5853.0
1984-09-01,5200.0
1984-10-01,6158.0
1984-11-01,5453.0
1984-12-01,5059.0
1985-01-01,5683.0
1985-02-01,4993.0
1985-03-01,5287.0
1985-04-01,5786.0
1985-05-01,5615.0
1985-06-01,5185.0
1985-07-01,6034.0
1985-08-01,5788.0
1985-09-01,5415.0
1985-10-01,6323.0
1985-11-01,5227.0
1985-12-01,5340.0
1986-01-01,5578.0
1986-02-01,4859.0
1986-03-01,5086.0
1986-04-01,6000.0
1986-05-01,5592.0
1986-06-01,5566.0
1986-07-01,5723.0
1986-08-01,5339.0
1986-09-01,5563.0
1986-10-01,5947.0
1986-11-01,5003.0
1986-12-01,5556.0
1987-01-01,5540.0
1987-02-01,5019.0
1987-03-01,5529.0
1987-04-01,5462.0
1987-05-01,5364.0
1987-06-01,5899.0
1987-07-01,5955.0
1987-08-01,5540.0
1987-09-01,5525.0
1987-10-01,5883.0
1987-11-01,5189.0
1987-12-01,5336.0
1988-01-01,5476.0
1988-02-01,5437.0
1988-03-01,6006.0
1988-04-01,5376.0
1988-05-01,5471.0
1988-06-01,5697.0
1988-07-01,5503.0
1988-08-01,5827.0
1988-09-01,5513.0
1988-10-01,5538.0
1988-11-01,5203.0
1988-12-01,5165.0
1989-01-01,5525.0
1989-02-01,4768.0
1989-03-01,5603.0
1989-04-01,4973.0
1989-05-01,5582.0
1989-06-01,5394.0
1989-07-01,5326.0
1989-08-01,5529.0
1989-09-01,5187.0
1989-10-01,5588.0
1989-11-01,5114.0
1989-12-01,4891.0
1990-01-01,5725.0
1990-02-01,4926.0
1990-03-01,5496.0
1990-04-01,5287.0
1990-05-01,5624.0
1990-06-01,5430.0
1990-07-01,5957.0
1990-08-01,5816.0
1990-09-01,5160.0
1990-10-01,6275.0
1990-11-01,5439.0
1990-12-01,4838.0
1991-01-01,5943.0
1991-02-01,5069.0
1991-03-01,5374.0
1991-04-01,5709.0
1991-05-01,5645.0
1991-06-01,5275.0
1991-07-01,6167.0
1991-08-01,5735.0
1991-09-01,5435.0
1991-10-01,6193.0
1991-11-01,5198.0
1991-12-01,5281.0
1992-01-01,5886.0
1992-02-01,4950.0
1992-03-01,5639.0
1992-04-01,5529.0
1992-05-01,5218.0
1992-06-01,5699.0
1992-07-01,5966.0
1992-08-01,5381.0
1992-09-01,5524.0
1992-10-01,5634.0
1992-11-01,5142.0
1992-12-01,5221.0
1993-01-01,5333.0
1993-02-01,4783.0
1993-03-01,5660.0
1993-04-01,5286.0
1993-05-01,5014.0
1993-06-01,5327.0
1993-07-01,5581.0
1993-08-01,5519.0
1993-09-01,5368.0
1993-10-01,5493.0
1993-11-01,5175.0
1993-12-01,4798.0
1994-01-01,5338.0
1994-02-01,4692.0
1994-03-01,5534.0
1994-04-01,5027.0
1994-05-01,5188.0
1994-06-01,5359.0
1994-07-01,5138.0
1994-08-01,5336.0
1994-09-01,5095.0
1994-10-01,5270.0
1994-11-01,4984.0
1994-12-01,4695.0
1995-01-01,5313.0
1995-02-01,4585.0
1995-03-01,5219.0
1995-04-01,4626.0
1995-05-01,5211.0
1995-06-01,5089.0
1995-07-01,5057.0
1995-08-01,5297.0
1995-09-01,4830.0
1995-10-01,5429.0
1995-11-01,5054.0
1995-12-01,4341.0
1996-01-01,5371.0
1996-02-01,4682.0
1996-03-01,4476.0
1996-04-01,4885.0
1996-05-01,4864.0
1996-06-01,4491.0
1996-07-01,5247.0
1996-08-01,5172.0
1996-09-01,4703.0
1996-10-01,5772.0
1996-11-01,4800.0
1996-12-01,4833.0
1997-01-01,5346.0
1997-02-01,4581.0
1997-03-01,4356.0
1997-04-01,5500.0
1997-05-01,4942.0
1997-06-01,4961.0
1997-07-01,5276.0
1997-08-01,4890.0
1997-09-01,4989.0
1997-10-01,5332.0
1997-11-01,4372.0
1997-12-01,4895.0
1998-01-01,4924.0
1998-02-01,4308.0
1998-03-01,4919.0
1998-04-01,4807.0
1998-05-01,4485.0
1998-06-01,4956.0
1998-07-01,5085.0
1998-08-01,4800.0
1998-09-01,4911.0
1998-10-01,5081.0
1998-11-01,4479.0
1998-12-01,4564.0
1999-01-01,4635.0
1999-02-01,4287.0
1999-03-01,4951.0
1999-04-01,4703.0
1999-05-01,4366.0
1999-06-01,4834.0
1999-07-01,4718.0
1999-08-01,4789.0
1999-09-01,4600.0
1999-10-01,4503.0
1999-11-01,4551.0
1999-12-01,4210.0
2000-01-01,4696.0
2000-02-01,4296.0
2000-03-01,4709.0
2000-04-01,3988.0
2000-05-01,4773.0
2000-06-01,4433.0
2000-07-01,4391.0
2000-08-01,4580.0
2000-09-01,4425.0
2000-10-01,4652.0
2000-11-01,4306.0
2000-12-01,3827.0
2001-01-01,4929.0
2001-02-01,4063.0
2001-03-01,4543.0
2001-04-01,4169.0
2001-05-01,4600.0
2001-06-01,4128.0
2001-07-01,4582.0
2001-08-01,4508.0
2001-09-01,4076.0
2001-10-01,4821.0
2001-11-01,4258.0
2001-12-01,3850.0
2002-01-01,4561.0
2002-02-01,3797.0
2002-03-01,4016.0
2002-04-01,4332.0
2002-05-01,4460.0
2002-06-01,3833.0
2002-07-01,4640.0
2002-08-01,4421.0
2002-09-01,4158.0
2002-10-01,4820.0
2002-11-01,4143.0
2002-12-01,4089.0
2003-01-01,4664.0
2003-02-01,3987.0
2003-03-01,4113.0
2003-04-01,4244.0
2003-05-01,4272.0
2003-06-01,4389.0
2003-07-01,4787.0
2003-08-01,4491.0
2003-09-01,4480.0
2003-10-01,4719.0
2003-11-01,3996.0
2003-12-01,4290.0
2004-01-01,4617.0
2004-02-01,4148.0
2004-03-01,4694.0
2004-04-01,4458.0
2004-05-01,4177.0
2004-06-01,4706.0
2004-07-01,4590.0
2004-08-01,4602.0
2004-09-01,4640.0
2004-10-01,4533.0
2004-11-01,4630.0
2004-12-01,4162.0
2005-01-01,4688.0
2005-02-01,4047.0
2005-03-01,4621.0
2005-04-01,4427.0
2005-05-01,4393.0
2005-06-01,4737.0
2005-07-01,4437.0
2005-08-01,5123.0
2005-09-01,4666.0
2005-10-01,4639.0
2005-11-01,4513.0
2005-12-01,4095.0
2006-01-01,4839.0
2006-02-01,4044.0
2006-03-01,4685.0
2006-04-01,4202.0
2006-05-01,4905.0
2006-06-01,4932.0
2006-07-01,4663.0
2006-08-01,5033.0
2006-09-01,4485.0
2006-10-01,5287.0
2006-11-01,4583.0
2006-12-01,4032.0
2007-01-01,5196.0
2007-02-01,4256.0
2007-03-01,4757.0
2007-04-01,4573.0
2007-05-01,5022.0
2007-06-01,4675.0
